
--- Simulation Session Started at 2026-09-23 20:01:37.891328 ---
=== RIGOROUS COLLATZ ENGINE INITIALIZED ===

=== RIGOROUS EXPONENTIAL SCALE COLLATZ ENGINE ===
Running with strict modular math and exponent scale tracking...
Press Ctrl+C to stop anytime.
Elapsed: 6s | Steps: 1050000000 | Audits: 0 | Exp Scale 2^: ~3.70044 bits
Elapsed: 6s | Steps: 1053000000 | Audits: 0 | Exp Scale 2^: ~11.2461 bits
Elapsed: 6s | Steps: 1055000000 | Audits: 0 | Exp Scale 2^: ~42.1289 bits
Elapsed: 6s | Steps: 1056000000 | Audits: 0 | Exp Scale 2^: ~8.79766 bits
Elapsed: 6s | Steps: 1057000000 | Audits: 0 | Exp Scale 2^: ~8.75822 bits
Elapsed: 6s | Steps: 1060000000 | Audits: 0 | Exp Scale 2^: ~5.12928 bits
Elapsed: 6s | Steps: 1068000000 | Audits: 0 | Exp Scale 2^: ~25.2699 bits
Elapsed: 6s | Steps: 1071000000 | Audits: 0 | Exp Scale 2^: ~40.9807 bits
Elapsed: 6s | Steps: 1072000000 | Audits: 0 | Exp Scale 2^: ~13.9496 bits
Elapsed: 6s | Steps: 1075000000 | Audits: 0 | Exp Scale 2^: ~25.9726 bits
Elapsed: 6s | Steps: 1082000000 | Audits: 0 | Exp Scale 2^: ~43.7534 bits
Elapsed: 6s | Steps: 1084000000 | Audits: 0 | Exp Scale 2^: ~37.8478 bits
Elapsed: 6s | Steps: 1085000000 | Audits: 0 | Exp Scale 2^: ~40.9995 bits
Elapsed: 6s | Steps: 1086000000 | Audits: 0 | Exp Scale 2^: ~21.7196 bits
Elapsed: 6s | Steps: 1097000000 | Audits: 0 | Exp Scale 2^: ~6.50779 bits
Elapsed: 6s | Steps: 1109000000 | Audits: 0 | Exp Scale 2^: ~27.9784 bits
Elapsed: 6s | Steps: 1112000000 | Audits: 0 | Exp Scale 2^: ~6.14975 bits
Elapsed: 6s | Steps: 1116000000 | Audits: 0 | Exp Scale 2^: ~24.5694 bits
Elapsed: 6s | Steps: 1117000000 | Audits: 0 | Exp Scale 2^: ~18.5377 bits
Elapsed: 6s | Steps: 1121000000 | Audits: 0 | Exp Scale 2^: ~20.3729 bits
Elapsed: 6s | Steps: 1123000000 | Audits: 0 | Exp Scale 2^: ~22.6762 bits
Elapsed: 6s | Steps: 1125000000 | Audits: 0 | Exp Scale 2^: ~34.2607 bits
Elapsed: 6s | Steps: 1130000000 | Audits: 0 | Exp Scale 2^: ~5.93074 bits
Elapsed: 6s | Steps: 1139000000 | Audits: 0 | Exp Scale 2^: ~7.70736 bits
Elapsed: 6s | Steps: 1142000000 | Audits: 0 | Exp Scale 2^: ~10.8711 bits
Elapsed: 6s | Steps: 1143000000 | Audits: 0 | Exp Scale 2^: ~40.7543 bits
Elapsed: 6s | Steps: 1144000000 | Audits: 0 | Exp Scale 2^: ~9.21189 bits
Elapsed: 6s | Steps: 1145000000 | Audits: 0 | Exp Scale 2^: ~20.9523 bits
Elapsed: 6s | Steps: 1150000000 | Audits: 0 | Exp Scale 2^: ~42.103 bits
